iter,f2,total_cost
0,5326.91,1252.15
1,5326.91,1252.15
2,5326.91,1252.15
3,5326.91,1252.15
4,5326.91,1252.15
5,5326.91,1252.15
6,5326.91,1252.15
7,5326.91,1252.15
8,5326.91,1252.15
9,5326.91,1252.15
10,5326.91,1252.15
11,5326.91,1252.15
12,5326.91,1252.15
13,5326.91,1252.15
14,5326.91,1252.15
15,5326.91,1252.15
16,5326.91,1252.15
17,5326.91,1252.15
18,5326.91,1252.15
19,5326.91,1252.15
20,5326.91,1252.15
21,5326.91,1252.15
22,5326.91,1252.15
23,5326.91,1252.15
24,5326.91,1252.15
25,5326.91,1252.15
26,5326.91,1252.15
27,5326.91,1252.15
28,5326.91,1252.15
29,5326.91,1252.15
30,5326.91,1252.15
31,5326.91,1252.15
32,5326.91,1252.15
33,5326.91,1252.15
34,5326.91,1252.15
35,5326.91,1252.15
36,5326.91,1252.15
37,5326.91,1252.15
38,5326.91,1252.15
39,5326.91,1252.15
40,5326.91,1252.15
41,5326.91,1252.15
42,5326.91,1252.15
43,5326.91,1252.15
44,5326.91,1252.15
45,5326.91,1252.15
46,5326.91,1252.15
47,5326.91,1252.15
48,5326.91,1252.15
49,5326.91,1252.15
50,5326.91,1252.15
51,5326.91,1252.15
52,5326.91,1252.15
53,5326.91,1252.15
54,5326.91,1252.15
55,5326.91,1252.15
56,5326.91,1252.15
57,5326.91,1252.15
58,5326.91,1252.15
59,5326.91,1252.15
60,5326.91,1252.15
61,5326.91,1252.15
62,5326.91,1252.15
63,5326.91,1252.15
64,5326.91,1252.15
65,5326.91,1252.15
66,5326.91,1252.15
67,5326.91,1252.15
68,5326.91,1252.15
69,5326.91,1252.15
70,5326.91,1252.15
71,5326.91,1252.15
72,5326.91,1252.15
73,5326.91,1252.15
74,5326.91,1252.15
75,5326.91,1252.15
76,5326.91,1252.15
77,5326.91,1252.15
78,5326.91,1252.15
79,5326.91,1252.15
80,5326.91,1252.15
81,5326.91,1252.15
82,5326.91,1252.15
83,5326.91,1252.15
84,5326.91,1252.15
85,5326.91,1252.15
86,5326.91,1252.15
87,5326.91,1252.15
88,5326.91,1252.15
89,5326.91,1252.15
90,5326.91,1252.15
91,5326.91,1252.15
92,5326.91,1252.15
93,5326.91,1252.15
94,5326.91,1252.15
95,5326.91,1252.15
96,5326.91,1252.15
97,5326.91,1252.15
98,5326.91,1252.15
99,5326.91,1252.15
100,5326.91,1252.15
101,5326.91,1252.15
102,5326.91,1252.15
103,5326.91,1252.15
104,5326.91,1252.15
105,5326.91,1252.15
106,5326.91,1252.15
107,5326.91,1252.15
108,5326.91,1252.15
109,5326.91,1252.15
110,5326.91,1252.15
111,5326.91,1252.15
112,5326.91,1252.15
113,5326.91,1252.15
114,5326.91,1252.15
115,5326.91,1252.15
116,5326.91,1252.15
117,5326.91,1252.15
118,5326.91,1252.15
119,5326.91,1252.15
120,5326.91,1252.15
121,5326.91,1252.15
122,5326.91,1252.15
123,5326.91,1252.15
124,5326.91,1252.15
125,5326.91,1252.15
126,5326.91,1252.15
127,5326.91,1252.15
128,5326.91,1252.15
129,5326.91,1252.15
130,5326.91,1252.15
131,5326.91,1252.15
132,5326.91,1252.15
133,5326.91,1252.15
134,5326.91,1252.15
135,5326.91,1252.15
136,5326.91,1252.15
137,5326.91,1252.15
138,5326.91,1252.15
139,5326.91,1252.15
140,5326.91,1252.15
141,5326.91,1252.15
142,5326.91,1252.15
143,5326.91,1252.15
144,5326.91,1252.15
145,5326.91,1252.15
146,5326.91,1252.15
147,5326.91,1252.15
148,5326.91,1252.15
149,5326.91,1252.15
150,5326.91,1252.15
151,5326.91,1252.15
152,5326.91,1252.15
153,5326.91,1252.15
154,5326.91,1252.15
155,5326.91,1252.15
156,5326.91,1252.15
157,5326.91,1252.15
158,5326.91,1252.15
159,5326.91,1252.15
160,5326.91,1252.15
161,5326.91,1252.15
162,5326.91,1252.15
163,5326.91,1252.15
164,5326.91,1252.15
165,5326.91,1252.15
166,5326.91,1252.15
167,5326.91,1252.15
168,5326.91,1252.15
169,5326.91,1252.15
170,5326.91,1252.15
171,5326.91,1252.15
172,5326.91,1252.15
173,5326.91,1252.15
174,5326.91,1252.15
175,5326.91,1252.15
176,5326.91,1252.15
177,5326.91,1252.15
178,5326.91,1252.15
179,5326.91,1252.15
180,5326.91,1252.15
181,5326.91,1252.15
182,5326.91,1252.15
183,5326.91,1252.15
184,5326.91,1252.15
185,5326.91,1252.15
186,5326.91,1252.15
187,5326.91,1252.15
188,5326.91,1252.15
189,5326.91,1252.15
190,5326.91,1252.15
191,5326.91,1252.15
192,5326.91,1252.15
193,5326.91,1252.15
194,5326.91,1252.15
195,5326.91,1252.15
196,5326.91,1252.15
197,5326.91,1252.15
198,5326.91,1252.15
199,5326.91,1252.15
200,5326.91,1252.15
201,5326.91,1252.15
202,5326.91,1252.15
203,5326.91,1252.15
204,5326.91,1252.15
205,5326.91,1252.15
206,5326.91,1252.15
207,5326.91,1252.15
208,5326.91,1252.15
209,5326.91,1252.15
210,5326.91,1252.15
211,5326.91,1252.15
212,5326.91,1252.15
213,5326.91,1252.15
214,5326.91,1252.15
215,5326.91,1252.15
216,5326.91,1252.15
217,5326.91,1252.15
218,5326.91,1252.15
219,5326.91,1252.15
220,5326.91,1252.15
221,5326.91,1252.15
222,5326.91,1252.15
223,5326.91,1252.15
224,5326.91,1252.15
225,5326.91,1252.15
226,5326.91,1252.15
227,5326.91,1252.15
228,5326.91,1252.15
229,5326.91,1252.15
230,5326.91,1252.15
231,5326.91,1252.15
232,5326.91,1252.15
233,5326.91,1252.15
234,5326.91,1252.15
235,5326.91,1252.15
236,5326.91,1252.15
237,5326.91,1252.15
238,5326.91,1252.15
239,5326.91,1252.15
240,5326.91,1252.15
241,5326.91,1252.15
242,5326.91,1252.15
243,5326.91,1252.15
244,5326.91,1252.15
245,5326.91,1252.15
246,5326.91,1252.15
247,5326.91,1252.15
248,5326.91,1252.15
249,5326.91,1252.15
250,5326.91,1252.15
251,5326.91,1252.15
252,5326.91,1252.15
253,5326.91,1252.15
254,5326.91,1252.15
255,5326.91,1252.15
256,5326.91,1252.15
257,5326.91,1252.15
258,5326.91,1252.15
259,5326.91,1252.15
260,5326.91,1252.15
261,5326.91,1252.15
262,5326.91,1252.15
263,5326.91,1252.15
264,5326.91,1252.15
265,5326.91,1252.15
266,5326.91,1252.15
267,5326.91,1252.15
268,5326.91,1252.15
269,5326.91,1252.15
270,5326.91,1252.15
271,5326.91,1252.15
272,5326.91,1252.15
273,5326.91,1252.15
274,5326.91,1252.15
275,5326.91,1252.15
276,5326.91,1252.15
277,5326.91,1252.15
278,5326.91,1252.15
279,5326.91,1252.15
280,5326.91,1252.15
281,5326.91,1252.15
282,5326.91,1252.15
283,5326.91,1252.15
284,5326.91,1252.15
285,5326.91,1252.15
286,5326.91,1252.15
287,5326.91,1252.15
288,5326.91,1252.15
289,5326.91,1252.15
290,5326.91,1252.15
291,5326.91,1252.15
292,5326.91,1252.15
293,5326.91,1252.15
294,5326.91,1252.15
295,5326.91,1252.15
296,5326.91,1252.15
297,5326.91,1252.15
298,5326.91,1252.15
299,5326.91,1252.15
300,5326.91,1252.15
301,5326.91,1252.15
302,5326.91,1252.15
303,5326.91,1252.15
304,5326.91,1252.15
305,5326.91,1252.15
306,5326.91,1252.15
307,5326.91,1252.15
308,5326.91,1252.15
309,5326.91,1252.15
310,5326.91,1252.15
311,5326.91,1252.15
312,5326.91,1252.15
313,5326.91,1252.15
314,5326.91,1252.15
315,5326.91,1252.15
316,5326.91,1252.15
317,5326.91,1252.15
318,5326.91,1252.15
319,5326.91,1252.15
320,5326.91,1252.15
321,5326.91,1252.15
322,5326.91,1252.15
323,5326.91,1252.15
324,5326.91,1252.15
325,5326.91,1252.15
326,5326.91,1252.15
327,5326.91,1252.15
328,5326.91,1252.15
329,5326.91,1252.15
330,5326.91,1252.15
331,5326.91,1252.15
332,5326.91,1252.15
333,5326.91,1252.15
334,5326.91,1252.15
335,5326.91,1252.15
336,5326.91,1252.15
337,5326.91,1252.15
338,5326.91,1252.15
339,5326.91,1252.15
340,5326.91,1252.15
341,5326.91,1252.15
342,5326.91,1252.15
343,5326.91,1252.15
344,5326.91,1252.15
345,5326.91,1252.15
346,5326.91,1252.15
347,5326.91,1252.15
348,5326.91,1252.15
349,5326.91,1252.15
350,5326.91,1252.15
351,5326.91,1252.15
352,5326.91,1252.15
353,5326.91,1252.15
354,5326.91,1252.15
355,5326.91,1252.15
356,5326.91,1252.15
357,5326.91,1252.15
358,5326.91,1252.15
359,5326.91,1252.15
360,5326.91,1252.15
361,5326.91,1252.15
362,5326.91,1252.15
363,5326.91,1252.15
364,5326.91,1252.15
365,5326.91,1252.15
366,5326.91,1252.15
367,5326.91,1252.15
368,5326.91,1252.15
369,5326.91,1252.15
370,5326.91,1252.15
371,5326.91,1252.15
372,5326.91,1252.15
373,5326.91,1252.15
374,5326.91,1252.15
375,5326.91,1252.15
376,5326.91,1252.15
377,5326.91,1252.15
378,5326.91,1252.15
379,5326.91,1252.15
380,5326.91,1252.15
381,5326.91,1252.15
382,5326.91,1252.15
383,5326.91,1252.15
384,5326.91,1252.15
385,5326.91,1252.15
386,5326.91,1252.15
387,5326.91,1252.15
388,5326.91,1252.15
389,5326.91,1252.15
390,5326.91,1252.15
391,5326.91,1252.15
392,5326.91,1252.15
393,5326.91,1252.15
394,5326.91,1252.15
395,5326.91,1252.15
396,5326.91,1252.15
397,5326.91,1252.15
398,5326.91,1252.15
399,5326.91,1252.15
400,5326.91,1252.15
401,5326.91,1252.15
402,5326.91,1252.15
403,5326.91,1252.15
404,5326.91,1252.15
405,5326.91,1252.15
406,5326.91,1252.15
407,5326.91,1252.15
408,5326.91,1252.15
409,5326.91,1252.15
410,5326.91,1252.15
411,5326.91,1252.15
412,5326.91,1252.15
413,5326.91,1252.15
414,5326.91,1252.15
415,5326.91,1252.15
416,5326.91,1252.15
417,5326.91,1252.15
418,5326.91,1252.15
419,5326.91,1252.15
420,5326.91,1252.15
421,5326.91,1252.15
422,5326.91,1252.15
423,5326.91,1252.15
424,5326.91,1252.15
425,5326.91,1252.15
426,5326.91,1252.15
427,5326.91,1252.15
428,5326.91,1252.15
429,5326.91,1252.15
430,5326.91,1252.15
431,5326.91,1252.15
432,5326.91,1252.15
433,5326.91,1252.15
434,5326.91,1252.15
435,5326.91,1252.15
436,5326.91,1252.15
437,5326.91,1252.15
438,5326.91,1252.15
439,5326.91,1252.15
440,5326.91,1252.15
441,5326.91,1252.15
442,5326.91,1252.15
443,5326.91,1252.15
444,5326.91,1252.15
445,5326.91,1252.15
446,5326.91,1252.15
447,5326.91,1252.15
448,5326.91,1252.15
449,5326.91,1252.15
450,5326.91,1252.15
451,5326.91,1252.15
452,5326.91,1252.15
453,5326.91,1252.15
454,5326.91,1252.15
455,5326.91,1252.15
456,5326.91,1252.15
457,5326.91,1252.15
458,5326.91,1252.15
459,5326.91,1252.15
460,5326.91,1252.15
461,5326.91,1252.15
462,5326.91,1252.15
463,5326.91,1252.15
464,5326.91,1252.15
465,5326.91,1252.15
466,5326.91,1252.15
467,5326.91,1252.15
468,5326.91,1252.15
469,5326.91,1252.15
470,5326.91,1252.15
471,5326.91,1252.15
472,5326.91,1252.15
473,5326.91,1252.15
474,5326.91,1252.15
475,5326.91,1252.15
476,5326.91,1252.15
477,5326.91,1252.15
478,5326.91,1252.15
479,5326.91,1252.15
480,5326.91,1252.15
481,5326.91,1252.15
482,5326.91,1252.15
483,5326.91,1252.15
484,5326.91,1252.15
485,5326.91,1252.15
486,5326.91,1252.15
487,5326.91,1252.15
488,5326.91,1252.15
489,5326.91,1252.15
490,5326.91,1252.15
491,5326.91,1252.15
492,5326.91,1252.15
493,5326.91,1252.15
494,5326.91,1252.15
495,5326.91,1252.15
496,5326.91,1252.15
497,5326.91,1252.15
498,5326.91,1252.15
499,5326.91,1252.15
500,5326.91,1252.15
